Region,Indicator,Measure type,Indicator segment,Segment value,Time scale,Time frame,Metric,Main metric,Metric value,Unit of measure,Confidence interval lower limit,Confidence interval upper limit,Refresh date
Island Health ,High Users of Hospital Beds,Indicator,Not applicable,Not applicable,Fiscal year,2018/2019,Risk-adjusted rate,Yes,4.1,Per 100,3.95,4.28,2025-10-07
Interior Health ,High Users of Hospital Beds,Indicator,Not applicable,Not applicable,Fiscal year,2020/2021,Risk-adjusted rate,Yes,4.1,Per 100,3.91,4.25,2025-10-07
Island Health ,High Users of Hospital Beds,Indicator,Not applicable,Not applicable,Fiscal year,2017/2018,Risk-adjusted rate,Yes,4,Per 100,3.85,4.18,2025-10-07
Island Health ,High Users of Hospital Beds,Indicator,Not applicable,Not applicable,Fiscal year,2020/2021,Risk-adjusted rate,Yes,4,Per 100,3.83,4.15,2025-10-07
Island Health ,High Users of Hospital Beds,Indicator,Not applicable,Not applicable,Fiscal year,2016/2017,Risk-adjusted rate,Yes,4,Per 100,3.81,4.13,2025-10-07
Fraser Health ,"Family Medicine Physicians per 100,000 Population",Contextual measure,Not applicable,Not applicable,Calendar year,2024,Crude rate,Yes,97,"Per 100,000",,,2025-10-10
Vancouver Coastal Health ,"Family Medicine Physicians per 100,000 Population",Contextual measure,Not applicable,Not applicable,Calendar year,2024,Crude rate,Yes,166,"Per 100,000",,,2025-10-10
Interior Health ,"Family Medicine Physicians per 100,000 Population",Contextual measure,Not applicable,Not applicable,Calendar year,2024,Crude rate,Yes,151,"Per 100,000",,,2025-10-10
Island Health ,"Family Medicine Physicians per 100,000 Population",Contextual measure,Not applicable,Not applicable,Calendar year,2024,Crude rate,Yes,177,"Per 100,000",,,2025-10-10
Northern Health ,"Family Medicine Physicians per 100,000 Population",Contextual measure,Not applicable,Not applicable,Calendar year,2024,Crude rate,Yes,146,"Per 100,000",,,2025-10-10
Fraser Health ,Cost of a Standard Hospital Stay,Indicator,Not applicable,Not applicable,Fiscal year,2020/2021,CSHS,Yes,"8,379",Dollars,,,2026-05-19
Fraser Health ,Cost of a Standard Hospital Stay,Indicator,Not applicable,Not applicable,Fiscal year,2021/2022,CSHS,Yes,"8,013",Dollars,,,2026-05-19
Fraser Health ,Cost of a Standard Hospital Stay,Indicator,Not applicable,Not applicable,Fiscal year,2022/2023,CSHS,Yes,"8,741",Dollars,,,2026-05-19
Fraser Health ,Cost of a Standard Hospital Stay,Indicator,Not applicable,Not applicable,Fiscal year,2023/2024,CSHS,Yes,"10,125",Dollars,,,2026-05-19
Fraser Health ,Cost of a Standard Hospital Stay,Indicator,Not applicable,Not applicable,Fiscal year,2024/2025,CSHS,Yes,"11,068",Dollars,,,2026-05-19
