Name,Area Type,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,,2011-12 Changes,2012-13 Changes,2013-14 Changes,2014-15 Changes,2015-16 Changes,2016-17 Changes,2017-18 Changes,2018-19 Changes,2019-20 Changes,2020-21 Changes,2021-22 Changes,2022-23 Changes,2023-24 Changes,2024-25 Changes
Cumberland,VL,"3,492","3,541","3,599","3,668","3,814","3,922","4,065","4,230","4,373","4,548","4,649","4,698","4,813","4,923","4,974",,1.40%,1.60%,1.90%,4.00%,2.80%,3.60%,4.10%,3.40%,4.00%,2.20%,1.10%,2.40%,2.30%,1.00%
Vanderhoof,DM,"4,569","4,574","4,587","4,594","4,595","4,630","4,575","4,547","4,573","4,531","4,537","4,549","4,563","4,553","4,545",,0.10%,0.30%,0.20%,0.00%,0.80%,-1.20%,-0.60%,0.60%,-0.90%,0.10%,0.30%,0.30%,-0.20%,-0.20%
Bowen Island,IM,"3,447","3,614","3,672","3,699","3,752","3,827","4,001","4,128","4,199","4,229","4,401","4,427","4,524","4,613","4,501",,4.80%,1.60%,0.70%,1.40%,2.00%,4.50%,3.20%,1.70%,0.70%,4.10%,0.60%,2.20%,2.00%,-2.40%
Sparwood,DM,"3,745","3,848","3,855","3,960","3,970","3,946","3,995","4,106","4,193","4,230","4,345","4,455","4,428","4,449","4,486",,2.80%,0.20%,2.70%,0.30%,-0.60%,1.20%,2.80%,2.10%,0.90%,2.70%,2.50%,-0.60%,0.50%,0.80%
Golden,T,"3,796","3,774","3,784","3,772","3,823","3,882","3,946","4,004","4,071","4,116","4,187","4,296","4,390","4,431","4,433",,-0.60%,0.30%,-0.30%,1.40%,1.50%,1.60%,1.50%,1.70%,1.10%,1.70%,2.60%,2.20%,0.90%,0.00%
Rossland,CY,"3,622","3,682","3,714","3,804","3,819","3,908","3,954","4,041","4,170","4,159","4,328","4,335","4,329","4,326","4,355",,1.70%,0.90%,2.40%,0.40%,2.30%,1.20%,2.20%,3.20%,-0.30%,4.10%,0.20%,-0.10%,-0.10%,0.70%
Grand Forks,CY,"4,038","4,047","4,052","4,082","4,115","4,166","4,179","4,208","4,220","4,201","4,233","4,275","4,297","4,314","4,308",,0.20%,0.10%,0.70%,0.80%,1.20%,0.30%,0.70%,0.30%,-0.50%,0.80%,1.00%,0.50%,0.40%,-0.10%
Invermere,DM,"3,010","3,096","3,200","3,316","3,424","3,541","3,621","3,691","3,828","3,939","4,073","4,136","4,196","4,272","4,305",,2.90%,3.40%,3.60%,3.30%,3.40%,2.30%,1.90%,3.70%,2.90%,3.40%,1.50%,1.50%,1.80%,0.80%
Lantzville,DM,"3,630","3,605","3,645","3,666","3,654","3,745","3,761","3,831","3,842","3,892","3,938","4,024","4,093","4,243","4,276",,-0.70%,1.10%,0.60%,-0.30%,2.50%,0.40%,1.90%,0.30%,1.30%,1.20%,2.20%,1.70%,3.70%,0.80%
Port Hardy,DM,"4,057","4,204","4,215","4,244","4,244","4,252","4,280","4,183","4,251","4,065","4,079","4,166","4,188","4,169","4,201",,3.60%,0.30%,0.70%,0.00%,0.20%,0.70%,-2.30%,1.60%,-4.40%,0.30%,2.10%,0.50%,-0.50%,0.80%
Northern Rockies Regional Municipality,RGM,"5,406","5,590","5,459","5,360","5,112","4,981","4,657","4,390","4,208","4,075","4,111","4,104","4,094","4,132","4,144",,3.40%,-2.30%,-1.80%,-4.60%,-2.60%,-6.50%,-5.70%,-4.10%,-3.20%,0.90%,-0.20%,-0.20%,0.90%,0.30%
